Entry	Gene names	Protein names	Annotation	Gene ontology (biological process)	Cross-reference (KEGG)	Cross-reference (Pfam)	EnsemblBacteria transcript	Cross-reference (BioCyc)
P0A6E9	bioD2 ynfK b1593 JW5264	ATP-dependent dethiobiotin synthetase BioD 2 (EC 6.3.3.3) (DTB synthetase 2) (DTBS 2) (Dethiobiotin synthase 2)	3 out of 5	biotin biosynthetic process [GO:0009102]	ecj:JW5264;eco:b1593;		AAC74665;BAA15317;	EcoCyc:G6851-MONOMER;ECOL316407:JW5264-MONOMER;
P76364	cbeA yeeU b2004 JW1986	Cytoskeleton bundling-enhancing antitoxin CbeA (Antitoxin CbeA) (Antitoxin YeeU)	5 out of 5	positive regulation of cytoskeleton organization [GO:0051495]	ecj:JW1986;eco:b2004;	PF06154;	AAC75065;BAA15827;	EcoCyc:G7084-MONOMER;ECOL316407:JW1986-MONOMER;
P45956	ygbF cas2 b2754 JW5438	CRISPR-associated endoribonuclease Cas2 (EC 3.1.-.-)	5 out of 5	defense response to virus [GO:0051607]; maintenance of CRISPR repeat elements [GO:0043571]	ecj:JW5438;eco:b2754;	PF09707;	AAC75796;BAE76831;	EcoCyc:EG12845-MONOMER;ECOL316407:JW5438-MONOMER;
P0AE60	cedA ydjP b1731 JW1720	Cell division activator CedA	3 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of cell division [GO:0051302]	ecj:JW1720;eco:b1731;	PF10729;	AAC74801;BAE76513;	EcoCyc:G6936-MONOMER;ECOL316407:JW1720-MONOMER;
P17411	chbF celF ydjD b1734 JW1723	6-phospho-beta-glucosidase (EC 3.2.1.86) (Cellobiose-6-phosphate hydrolase) (Phospho-chitobiase)	5 out of 5	carbohydrate metabolic process [GO:0005975]	ecj:JW1723;eco:b1734;	PF02056;PF11975;	AAC74804;BAA15515;	EcoCyc:EG10144-MONOMER;ECOL316407:JW1723-MONOMER;MetaCyc:EG10144-MONOMER;
P37019	clcA eriC yadQ b0155 JW5012	H(+)/Cl(-) exchange transporter ClcA (ClC-ec1)	5 out of 5	chloride transport [GO:0006821]; nitrate transport [GO:0015706]	ecj:JW5012;eco:b0155;	PF00654;	AAC73266;BAB96732;	EcoCyc:YADQ-MONOMER;ECOL316407:JW5012-MONOMER;MetaCyc:YADQ-MONOMER;
P0A976	cspF b1558 JW1550	Cold shock-like protein CspF (CSP-F)	2 out of 5	negative regulation of DNA-templated transcription, termination [GO:0060567]; regulation of gene expression [GO:0010468]	ecj:JW1550;eco:b1558;	PF00313;	AAC74631;BAA15257;	EcoCyc:EG12205-MONOMER;ECOL316407:JW1550-MONOMER;
P31825	yfiC b2575 JW2559	tRNA1(Val) (adenine(37)-N6)-methyltransferase (EC 2.1.1.223) (tRNA m6A37 methyltransferase)	3 out of 5	tRNA methylation [GO:0030488]	ecj:JW2559;eco:b2575;	PF05175;	AAC75628;BAE76751;	EcoCyc:EG11538-MONOMER;ECOL316407:JW2559-MONOMER;MetaCyc:EG11538-MONOMER;
P0AFS5	tqsA ydgG b1601 JW1593	AI-2 transport protein TqsA (Transport of quorum-sensing signal protein)	4 out of 5	autoinducer AI-2 transmembrane transport [GO:1905887]; quorum sensing [GO:0009372]; transmembrane transport [GO:0055085]	ecj:JW1593;eco:b1601;	PF01594;	AAC74673;BAA15335;	EcoCyc:G6859-MONOMER;ECOL316407:JW1593-MONOMER;MetaCyc:G6859-MONOMER;
P0ABU9	tolQ fii b0737 JW0727	Tol-Pal system protein TolQ	5 out of 5	bacteriocin transport [GO:0043213]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein import [GO:0017038]	ecj:JW0727;eco:b0737;	PF01618;	AAC73831;BAA35403;	EcoCyc:EG11010-MONOMER;ECOL316407:JW0727-MONOMER;
P06612	topA supX b1274 JW1266	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	5 out of 5	DNA topological change [GO:0006265]	ecj:JW1266;eco:b1274;	PF08272;PF01131;PF01751;PF01396;	AAC74356;BAA14811;	EcoCyc:EG11013-MONOMER;ECOL316407:JW1266-MONOMER;MetaCyc:EG11013-MONOMER;
P13482	treA osmA b1197 JW1186	Periplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Tre37A)	5 out of 5	cellular hyperosmotic response [GO:0071474]; cellular response to DNA damage stimulus [GO:0006974]; trehalose catabolic process [GO:0005993]	ecj:JW1186;eco:b1197;	PF01204;	AAC74281;BAA36054;	EcoCyc:TREHALAPERI-MONOMER;ECOL316407:JW1186-MONOMER;MetaCyc:TREHALAPERI-MONOMER;
P16525	tus tau b1610 JW1602	DNA replication terminus site-binding protein (Ter-binding protein)	3 out of 5	DNA replication termination [GO:0006274]; replication fork arrest involved in DNA replication termination [GO:0071807]	ecj:JW1602;eco:b1610;	PF05472;	AAC74682;BAA15348;	EcoCyc:EG11038-MONOMER;ECOL316407:JW1602-MONOMER;
P76055	ttcA ydaO b1344 JW1338	tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA)	5 out of 5	tRNA modification [GO:0006400]; tRNA thio-modification [GO:0034227]	ecj:JW1338;eco:b1344;	PF01171;	AAC74426;BAE76407;	EcoCyc:G6675-MONOMER;ECOL316407:JW1338-MONOMER;MetaCyc:G6675-MONOMER;
P24215	uxuA b4322 JW4285	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)	5 out of 5	cellular response to DNA damage stimulus [GO:0006974]; D-glucuronate catabolic process [GO:0042840]	ecj:JW4285;eco:b4322;	PF03786;	AAC77278;BAE78315;	EcoCyc:MANNONDEHYDRAT-MONOMER;ECOL316407:JW4285-MONOMER;MetaCyc:MANNONDEHYDRAT-MONOMER;
P43672	uup ycbH ycbI b0949 JW0932	ATP-binding protein Uup (EC 3.6.1.-)	5 out of 5	DNA repair [GO:0006281]; regulation of transposon integration [GO:0070894]; response to radiation [GO:0009314]	ecj:JW0932;eco:b0949;	PF00005;PF16326;PF12848;	AAC74035;BAA35707;	EcoCyc:UUP-MONOMER;ECOL316407:JW0932-MONOMER;
P0ACI3	xylR b3569 JW3541	Xylose operon regulatory protein	2 out of 5	regulation of transcription, DNA-templated [GO:0006355]	ecj:JW3541;eco:b3569;	PF12833;	AAC76593;BAE77724;	EcoCyc:EG20253-MONOMER;ECOL316407:JW3541-MONOMER;
P37669	wecH yiaH b3561 JW3533	O-acetyltransferase WecH (EC 2.3.1.-)	4 out of 5	enterobacterial common antigen biosynthetic process [GO:0009246]	ecj:JW3533;eco:b3561;	PF01757;	AAC76585;BAE77732;	EcoCyc:EG12274-MONOMER;ECOL316407:JW3533-MONOMER;
P0A8P6	xerC b3811 JW3784	Tyrosine recombinase XerC	5 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; plasmid maintenance [GO:0006276]; plasmid recombination [GO:0042150]; resolution of recombination intermediates [GO:0071139]; transposition, DNA-mediated [GO:0006313]	ecj:JW3784;eco:b3811;	PF02899;PF00589;	AAC76814;BAE77489;	EcoCyc:EG11069-MONOMER;ECOL316407:JW3784-MONOMER;
P30177	ybiB b0800 JW0785	Uncharacterized protein YbiB	2 out of 5	tryptophan biosynthetic process [GO:0000162]	ecj:JW0785;eco:b0800;	PF02885;	AAC73887;BAA35466;	EcoCyc:EG11580-MONOMER;ECOL316407:JW0785-MONOMER;
P77389	ydhP b1657 JW1649	Inner membrane transport protein YdhP	2 out of 5		ecj:JW1649;eco:b1657;	PF07690;	AAC74729;BAA15423;	EcoCyc:B1657-MONOMER;ECOL316407:JW1649-MONOMER;
P0AA95	yacC b0122 JW0118	Uncharacterized protein YacC	1 out of 5		ecj:JW0118;eco:b0122;	PF09691;	AAC73233;BAB96696;	EcoCyc:EG11089-MONOMER;ECOL316407:JW0118-MONOMER;
P0A9U8	ydiO b1695 JW5275	Probable acyl-CoA dehydrogenase YdiO (EC 1.3.-.-)	2 out of 5	1-butanol biosynthetic process [GO:0071271]	ecj:JW5275;eco:b1695;	PF00441;PF02770;PF02771;	AAC74765;BAA15464;	EcoCyc:G6918-MONOMER;ECOL316407:JW5275-MONOMER;
P77779	ybfO b0703 JW0692	Putative uncharacterized protein YbfO	2 out of 5		ecj:JW0692;	PF03527;PF05593;	BAA35361;	ECOL316407:JW0692-MONOMER;
P64479	ydiZ b1724 JW1713	Uncharacterized protein YdiZ	1 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW1713;eco:b1724;	PF11080;	AAC74794;BAE76509;	EcoCyc:G6929-MONOMER;ECOL316407:JW1713-MONOMER;
P77493	ydjH b1772 JW5289	Uncharacterized sugar kinase YdjH (EC 2.7.1.-)	2 out of 5		ecj:JW5289;eco:b1772;	PF00294;	AAC74842;BAA15563;	EcoCyc:G6959-MONOMER;ECOL316407:JW5289-MONOMER;
P37909	ybgD b0719 JW0709	Uncharacterized fimbrial-like protein YbgD	2 out of 5	cell adhesion [GO:0007155]; cell adhesion involved in single-species biofilm formation [GO:0043709]; pilus organization [GO:0043711]	ecj:JW0709;eco:b0719;	PF00419;	AAC73813;BAA35383;	EcoCyc:EG12359-MONOMER;ECOL316407:JW0709-MONOMER;
P0A8H8	yacG b0101 JW5008	DNA gyrase inhibitor YacG	3 out of 5	regulation of transcription, DNA-templated [GO:0006355]	ecj:JW5008;eco:b0101;	PF03884;	AAC73212;BAB96668;	EcoCyc:EG12314-MONOMER;ECOL316407:JW5008-MONOMER;
P0AFQ2	ybhS b0793 JW0777	Probable multidrug ABC transporter permease YbhS	4 out of 5	transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	ecj:JW0777;eco:b0793;		AAC73880;BAA35453;	EcoCyc:YBHS-MONOMER;ECOL316407:JW0777-MONOMER;MetaCyc:YBHS-MONOMER;
P0AAR8	ybaV b0442 JW0432	Uncharacterized protein YbaV	2 out of 5	DNA repair [GO:0006281]	ecj:JW0432;eco:b0442;		AAC73545;BAE76222;	EcoCyc:G6243-MONOMER;ECOL316407:JW0432-MONOMER;
P0DSE6	ybgV b4768	Protein YbgV	1 out of 5					
P0DPM6	yacM b4727	Protein YacM	1 out of 5					
P76210	ydjO b1730 JW1719	Uncharacterized protein YdjO	1 out of 5		ecj:JW1719;eco:b1730;		AAC74800;BAE76512;	EcoCyc:G6935-MONOMER;ECOL316407:JW1719-MONOMER;
P62768	yaeH b0163 JW0159	UPF0325 protein YaeH	1 out of 5		ecj:JW0159;eco:b0163;	PF11944;	AAC73274;BAB96740;	EcoCyc:EG12336-MONOMER;ECOL316407:JW0159-MONOMER;
P37017	yadL b0137 JW0133	Uncharacterized fimbrial-like protein YadL	3 out of 5	cell adhesion [GO:0007155]	ecj:JW0133;eco:b0137;	PF00419;	AAC73248;BAB96714;	EcoCyc:EG12326-MONOMER;ECOL316407:JW0133-MONOMER;
P68661	ybcO b0549 JW0537	Putative nuclease YbcO (EC 3.1.-.-)	2 out of 5		ecj:JW0537;eco:b0549;	PF07102;	AAC73650;BAE76324;	EcoCyc:G6305-MONOMER;ECOL316407:JW0537-MONOMER;
P0A8U2	yafD b0209 JW5017	UPF0294 protein YafD	2 out of 5		ecj:JW5017;eco:b0209;	PF03372;	AAC73314;BAA77880;	EcoCyc:EG11650-MONOMER;ECOL316407:JW5017-MONOMER;
P76137	ydeT b1505 JW1499	Fimbrial usher domain-containing protein YdeT	2 out of 5	pilus assembly [GO:0009297]	ecj:JW1499;	PF13953;PF00577;	BAA15178;	EcoCyc:G6795-MONOMER;ECOL316407:JW1499-MONOMER;
P0DP64	ybeM b4581 JW0621 b0626	Putative protein YbeM	2 out of 5	nitrogen compound metabolic process [GO:0006807]	ecj:JW0621;	PF00795;		
P77519	yddL b1472 JW1468	Protein YddL	2 out of 5	ion transmembrane transport [GO:0034220]	ecj:JW1468;	PF00267;	BAA15121;	EcoCyc:G6773-MONOMER;ECOL316407:JW1468-MONOMER;
P0AD07	yecF b1915 JW1900	Uncharacterized protein YecF	1 out of 5		ecj:JW1900;eco:b1915;		AAC74982;BAA15735;	EcoCyc:EG12861-MONOMER;ECOL316407:JW1900-MONOMER;
P0ACY9	yebG b1848 JW1837	Uncharacterized protein YebG	2 out of 5	DNA repair [GO:0006281]; response to X-ray [GO:0010165]; SOS response [GO:0009432]	ecj:JW1837;eco:b1848;	PF07130;	AAC74918;BAA15654;	EcoCyc:EG11808-MONOMER;ECOL316407:JW1837-MONOMER;
P76319	yedL b1932 JW1917	Uncharacterized N-acetyltransferase YedL (EC 2.3.1.-)	2 out of 5		ecj:JW1917;eco:b1932;	PF00583;	AAC74999;BAE76552;	EcoCyc:G7040-MONOMER;ECOL316407:JW1917-MONOMER;
P0A710	yciB ispZ b1254 JW1246	Probable intracellular septation protein A	4 out of 5	division septum assembly [GO:0000917]	ecj:JW1246;eco:b1254;	PF04279;	AAC74336;BAA14786;	EcoCyc:EG11122-MONOMER;ECOL316407:JW1246-MONOMER;
P71297	yagN b0280 JW0274	Uncharacterized protein YagN	1 out of 5		ecj:JW0274;eco:b0280;		AAC73383;BAE76064;	EcoCyc:G6151-MONOMER;ECOL316407:JW0274-MONOMER;
P0ACY3	yeaG b1783 JW1772	Uncharacterized protein YeaG	2 out of 5	cellular response to nitrogen starvation [GO:0006995]	ecj:JW1772;eco:b1783;	PF08298;PF06798;	AAC74853;BAA15580;	EcoCyc:G6969-MONOMER;ECOL316407:JW1772-MONOMER;MetaCyc:G6969-MONOMER;
P77169	yagJ b0276 JW0270	Protein YagJ	2 out of 5	response to X-ray [GO:0010165]	ecj:JW0270;		BAE76060;	EcoCyc:G6147-MONOMER;ECOL316407:JW0270-MONOMER;
P0AAA1	yagU b0287 JW0281	Inner membrane protein YagU	3 out of 5	response to acidic pH [GO:0010447]	ecj:JW0281;eco:b0287;	PF07274;	AAC73390;BAE76071;	EcoCyc:G6158-MONOMER;ECOL316407:JW0281-MONOMER;
P77657	yagK b0277 JW0271	Uncharacterized protein YagK	1 out of 5		ecj:JW0271;eco:b0277;		AAC73380;BAE76061;	EcoCyc:G6148-MONOMER;ECOL316407:JW0271-MONOMER;
P76234	yeaE b1781 JW1770	Uncharacterized protein YeaE	2 out of 5	methylglyoxal catabolic process [GO:0051596]	ecj:JW1770;eco:b1781;	PF00248;	AAC74851;BAA15578;	EcoCyc:G6967-MONOMER;ECOL316407:JW1770-MONOMER;MetaCyc:G6967-MONOMER;
P71311	yaiS b0364 JW0356	Uncharacterized deacetylase YaiS (EC 3.-.-.-)	1 out of 5		ecj:JW0356;eco:b0364;	PF02585;	AAC73467;BAE76145;	EcoCyc:G6216-MONOMER;ECOL316407:JW0356-MONOMER;
P55914	yjjZ b4567 JW5797	Uncharacterized protein YjjZ	1 out of 5		ecj:JW5797;eco:b4567;	PF07256;	ABD18719;BAE78358;	EcoCyc:MONOMER0-2696;ECOL316407:JW5797-MONOMER;
P39408	yjjV b4378 JW4341	Uncharacterized metal-dependent hydrolase YjjV (EC 3.1.-.-)	3 out of 5		ecj:JW4341;eco:b4378;	PF01026;	AAC77331;BAE78367;	EcoCyc:G7952-MONOMER;ECOL316407:JW4341-MONOMER;
P0DPN9	ymgL b4739	Protein YmgL	1 out of 5					
P77129	ylbE b4572 b0519	Uncharacterized protein YlbE	1 out of 5		eco:b4572;	PF06545;	ABD18638;	EcoCyc:G6288-MONOMER;
P58034	ymgF b4520 JW1156	Inner membrane protein YmgF	3 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]	ecj:JW1156;eco:b4520;		ABD18651;BAE76388;	EcoCyc:MONOMER0-2141;ECOL316407:JW1156-MONOMER;
P0DPO1	ymiC b4741	Protein YmiC	1 out of 5					
Q46909	ygcS b2771 JW5845	Inner membrane metabolite transport protein YgcS	2 out of 5		ecj:JW5845;eco:b2771;	PF00083;	AAC75813;BAE76848;	EcoCyc:B2771-MONOMER;ECOL316407:JW5845-MONOMER;
P0DPM9	ykgV b4729	Protein YkgV	1 out of 5					
P46141	ygbE b2749 JW2719	Inner membrane protein YgbE	2 out of 5		ecj:JW2719;eco:b2749;	PF12084;	AAC75791;BAE76826;	EcoCyc:EG12707-MONOMER;ECOL316407:JW2719-MONOMER;
P65807	ygeY b2872 JW2840	Uncharacterized protein YgeY	2 out of 5	arginine biosynthetic process [GO:0006526]	ecj:JW2840;eco:b2872;	PF07687;PF01546;	AAC75910;BAE76938;	EcoCyc:G7491-MONOMER;ECOL316407:JW2840-MONOMER;
P75678	ykfA b0253 JW0243	Uncharacterized protein YkfA	2 out of 5	tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	ecj:JW0243;eco:b0253;	PF01926;	AAC73356;BAA77923;	EcoCyc:G6128-MONOMER;ECOL316407:JW0243-MONOMER;
A0A385XJL2	ygdT b4610	Protein YgdT	1 out of 5					
P67338	yoaH b1811 JW1800	UPF0181 protein YoaH	1 out of 5		ecj:JW1800;eco:b1811;	PF03701;	AAC74881;BAE76535;	EcoCyc:G6995-MONOMER;ECOL316407:JW1800-MONOMER;
P0ADS6	yggE b2922 JW2889	Uncharacterized protein YggE	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; cellular response to reactive oxygen species [GO:0034614]	ecj:JW2889;eco:b2922;	PF04402;	AAC75959;BAE76986;	EcoCyc:EG11244-MONOMER;ECOL316407:JW2889-MONOMER;
P28638	yhdJ b3262 JW5543	DNA adenine methyltransferase YhdJ (EC 2.1.1.72)	3 out of 5		ecj:JW5543;eco:b3262;	PF01555;	AAC76294;BAE77303;	EcoCyc:EG11498-MONOMER;ECOL316407:JW5543-MONOMER;MetaCyc:EG11498-MONOMER;
P77656	yfdK b2354 JW2350	Uncharacterized protein YfdK	1 out of 5	response to oxidative stress [GO:0006979]	ecj:JW2350;eco:b2354;	PF02413;	AAC75413;BAA16214;	EcoCyc:G7223-MONOMER;ECOL316407:JW2350-MONOMER;
P0AFV0	yibH b3597 JW3571	Inner membrane protein YibH	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW3571;eco:b3597;	PF00529;PF16576;	AAC76621;BAE77696;	EcoCyc:EG11764-MONOMER;ECOL316407:JW3571-MONOMER;
P45424	yhcH b3221 JW3190	Uncharacterized protein YhcH	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW3190;eco:b3221;	PF04074;	AAC76253;BAE77264;	EcoCyc:G7675-MONOMER;ECOL316407:JW3190-MONOMER;
P0DPO8	ynfT ynfQ b4748	Protein YnfT	2 out of 5					
P0ADM0	yidH b3676 JW3652	Inner membrane protein YidH	2 out of 5	response to oxidative stress [GO:0006979]	ecj:JW3652;eco:b3676;	PF02656;	AAC76699;BAE77617;	EcoCyc:EG11696-MONOMER;ECOL316407:JW3652-MONOMER;
P0AFU6	yiiF b3890 JW5563	Uncharacterized protein YiiF	1 out of 5	regulation of transcription, DNA-templated [GO:0006355]	ecj:JW5563;eco:b3890;		AAD13452;BAE77419;	EcoCyc:EG11855-MONOMER;ECOL316407:JW5563-MONOMER;
P76549	yffR b2449	Uncharacterized protein YffR	1 out of 5		eco:b2449;		AAC75502;	EcoCyc:G7279-MONOMER;
P52131	yfjP b2632 JW5419	Uncharacterized protein YfjP	2 out of 5	tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	ecj:JW5419;eco:b2632;	PF01926;	AAT48146;BAE76767;	EcoCyc:G7367-MONOMER;ECOL316407:JW5419-MONOMER;
P76223	ynjB b1754 JW5284	Protein YnjB	1 out of 5		ecj:JW5284;eco:b1754;	PF13416;	AAC74824;BAE76521;	EcoCyc:G6949-MONOMER;ECOL316407:JW5284-MONOMER;
P33346	yehI b2118 JW2105	Uncharacterized protein YehI	1 out of 5		ecj:JW2105;eco:b2118;	PF13569;	AAC75179;BAE76593;	EcoCyc:EG11995-MONOMER;ECOL316407:JW2105-MONOMER;
A5A615	yncL b4598 JW1439.1	Uncharacterized protein YncL	2 out of 5		eco:b4598;		ABP93444;	EcoCyc:MONOMER0-761;
P25747	yeiB b2152 JW2139	Uncharacterized protein YeiB	2 out of 5		ecj:JW2139;eco:b2152;	PF04235;	AAC75213;BAE76629;	EcoCyc:EG11290-MONOMER;ECOL316407:JW2139-MONOMER;
P32693	yjbL b4047 JW4007	Uncharacterized protein YjbL	1 out of 5		ecj:JW4007;eco:b4047;		AAC77017;BAE78049;	EcoCyc:EG11930-MONOMER;ECOL316407:JW4007-MONOMER;
P32129	yihG b3862 JW3834	Probable acyltransferase YihG (EC 2.3.-.-)	3 out of 5		ecj:JW3834;eco:b3862;	PF01553;	AAC76860;BAE77446;	EcoCyc:EG11833-MONOMER;ECOL316407:JW3834-MONOMER;
P32704	yjcF b4066 JW4027	Uncharacterized protein YjcF	1 out of 5		ecj:JW4027;eco:b4066;	PF00805;	AAC77036;BAE78068;	EcoCyc:EG11941-MONOMER;ECOL316407:JW4027-MONOMER;
P64448	ynbE b1382 JW1377	Uncharacterized protein YnbE	1 out of 5		ecj:JW1377;eco:b1382;	PF13617;	AAC74464;BAE76420;	EcoCyc:G6704-MONOMER;ECOL316407:JW1377-MONOMER;
P32681	yjaH b4001 JW3965	Uncharacterized protein YjaH	1 out of 5		ecj:JW3965;eco:b4001;	PF07356;	AAC76975;BAE77318;	EcoCyc:EG11917-MONOMER;ECOL316407:JW3965-MONOMER;
Q46919	yqcC b2792 JW2763	Uncharacterized protein YqcC	1 out of 5	single-species biofilm formation [GO:0044010]	ecj:JW2763;eco:b2792;	PF04287;	AAC75834;BAE76864;	EcoCyc:G7450-MONOMER;ECOL316407:JW2763-MONOMER;
P0A8W5	yqgE b2948 JW2915	UPF0301 protein YqgE	2 out of 5		ecj:JW2915;eco:b2948;	PF02622;	AAC75985;BAE77011;	EcoCyc:G7524-MONOMER;ECOL316407:JW2915-MONOMER;
P63177	rlmB yjfH b4180 JW4138	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	4 out of 5	enzyme-directed rRNA 2'-O-methylation [GO:0000453]; RNA methylation [GO:0001510]	ecj:JW4138;eco:b4180;	PF00588;PF08032;	AAC77137;BAE78181;	EcoCyc:G7845-MONOMER;ECOL316407:JW4138-MONOMER;MetaCyc:G7845-MONOMER;
P52130	rnlB yfjO b2631 JW5418	Antitoxin RnlB	3 out of 5	negative regulation of endoribonuclease activity [GO:0060702]	ecj:JW5418;eco:b2631;	PF15933;	AAC75679;BAE76766;	EcoCyc:G7366-MONOMER;ECOL316407:JW5418-MONOMER;MetaCyc:G7366-MONOMER;
P80644	ssuE ycbP b0937 JW0920	FMN reductase (NADPH) (EC 1.5.1.38) (FMN reductase) (Sulfate starvation-induced protein 4) (SSI4)	4 out of 5	alkanesulfonate catabolic process [GO:0046306]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to sulfate starvation [GO:0009970]; protein homotetramerization [GO:0051289]	ecj:JW0920;eco:b0937;	PF03358;	AAC74023;BAA35692;	EcoCyc:MONOMER0-146;ECOL316407:JW0920-MONOMER;MetaCyc:MONOMER0-146;
P00962	glnS b0680 JW0666	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	5 out of 5	glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]	ecj:JW0666;eco:b0680;	PF00749;PF03950;	AAC73774;BAA35328;	EcoCyc:GLNS-MONOMER;ECOL316407:JW0666-MONOMER;MetaCyc:GLNS-MONOMER;
P11868	tdcD yhaA b3115 JW5806	Propionate kinase (EC 2.7.2.15)	5 out of 5	anaerobic amino acid catabolic process [GO:0019665]; L-threonine catabolic process to propionate [GO:0070689]; threonine catabolic process [GO:0006567]	ecj:JW5806;eco:b3115;	PF00871;	AAC76150;BAE77164;	EcoCyc:PROPKIN-MONOMER;ECOL316407:JW5806-MONOMER;MetaCyc:PROPKIN-MONOMER;
P0A867	talA b2464 JW2448	Transaldolase A (EC 2.2.1.2)	3 out of 5	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]	ecj:JW2448;eco:b2464;	PF00923;	AAC75517;BAA16339;	EcoCyc:TRANSALDOLA-MONOMER;ECOL316407:JW2448-MONOMER;
P0ADP7	ubiJ yigP b3834 JW3811	Ubiquinone biosynthesis accessory factor UbiJ	3 out of 5	ubiquinone biosynthetic process from chorismate [GO:0032150]	ecj:JW3811;eco:b3834;	PF02036;	AAC76837;BAE77467;	EcoCyc:EG11474-MONOMER;ECOL316407:JW3811-MONOMER;
Q47706	uidC gusC b1615 JW1607	Membrane-associated protein UidC	3 out of 5	carbohydrate transport [GO:0008643]; ion transport [GO:0006811]	ecj:JW1607;eco:b1615;	PF03573;	AAC74687;BAE76482;	EcoCyc:G6866-MONOMER;ECOL316407:JW1607-MONOMER;
P64599	ubiT yhbT b3157 JW3126	Ubiquinone biosynthesis accessory factor UbiT	3 out of 5	ubiquinone biosynthetic process [GO:0006744]	ecj:JW3126;eco:b3157;	PF02036;	AAC76191;BAE77203;	EcoCyc:G7651-MONOMER;ECOL316407:JW3126-MONOMER;
P26602	ubiC b4039 JW5713	Chorismate pyruvate-lyase (CL) (CPL) (EC 4.1.3.40)	5 out of 5	pyruvate biosynthetic process [GO:0042866]; ubiquinone biosynthetic process [GO:0006744]	ecj:JW5713;eco:b4039;	PF04345;	AAC77009;BAE78041;	EcoCyc:CHORPYRLY-MONOMER;ECOL316407:JW5713-MONOMER;MetaCyc:CHORPYRLY-MONOMER;
P03018	uvrD mutU pdeB rad recL b3813 JW3786	DNA helicase II (EC 3.6.4.12)	5 out of 5	DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; DNA unwinding involved in DNA replication [GO:0006268]; mismatch repair [GO:0006298]; nucleotide-excision repair [GO:0006289]; protein homooligomerization [GO:0051260]; recombinational repair [GO:0000725]; replication fork processing [GO:0031297]; response to radiation [GO:0009314]; rolling circle DNA replication [GO:0070581]; SOS response [GO:0009432]	ecj:JW3786;eco:b3813;	PF00580;PF13361;	AAC76816;BAE77487;	EcoCyc:EG11064-MONOMER;ECOL316407:JW3786-MONOMER;
P0A8W8	yfbU b2294 JW2291	UPF0304 protein YfbU	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW2291;eco:b2294;	PF03887;	AAC75354;BAE76685;	EcoCyc:G7188-MONOMER;ECOL316407:JW2291-MONOMER;
P67095	yfcE b2300 JW5377	Phosphodiesterase YfcE (EC 3.1.4.-)	4 out of 5	protein homotetramerization [GO:0051289]	ecj:JW5377;eco:b2300;	PF12850;	AAC75360;BAE76687;	EcoCyc:G7192-MONOMER;ECOL316407:JW5377-MONOMER;
